,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
65,광주광역시 서구 (2914000000),301339,301015,300292,300093,299850,299248,298898,298644,298030,297527,297214,296576,296036,295368,294691,294128,293364,293088,292724,292400,292180,291705,291411,291231,291235,290550,289789,289341,288703,288120,287748,288100,288043,287720,287607,287401,285972,285843,285537,284870,284355,283991,283582,283552,282898,282274
66,광주광역시 남구 (2915500000),218035,217993,217810,217543,216758,216256,215987,215701,215266,215072,214752,214579,214532,214579,213776,213698,213717,213910,214111,214051,214295,215043,215527,215575,215739,215454,215008,214848,215251,215274,215129,214411,213653,213079,212701,212379,210618,210423,210329,210027,209979,209646,209472,209448,209022,208632
67,광주광역시 북구 (2917000000),433147,432872,433006,433057,432731,433444,433463,433279,432525,431684,431256,430431,430516,430209,429600,429159,428262,427858,428040,427773,428082,427684,427463,427114,426877,427139,427178,426745,426329,426053,425881,424715,423743,424720,425001,424707,422475,422881,422776,422567,422159,421683,421473,421073,421968,422779
68,광주광역시 광산구 (2920000000),405525,405600,405969,406781,407036,406827,407133,407371,407138,406560,406126,405579,405154,405052,404939,404863,404804,404645,404422,404413,404726,404579,404341,404221,404319,403590,403407,402998,402793,402698,402513,402034,401729,401334,400895,400654,398520,397959,397682,397339,397164,396741,396562,395937,395031,394487
69,대전광역시  (3000000000),1474152,1473125,1471858,1471650,1471915,1471040,1470225,1469431,1469099,1467556,1465893,1463882,1463291,1462064,1458463,1457619,1457161,1456107,1455300,1454679,1455058,1454228,1453675,1452251,1451272,1450862,1450057,1449360,1448933,1448401,1448182,1448240,1446602,1446863,1446749,1446072,1444898,1444837,1444595,1443965,1443106,1442216,1441562,1441536,1441689,1441272
70,대전광역시 동구 (3011000000),226216,225633,225302,225094,224729,224300,224060,223728,223368,222850,222446,223021,223727,224103,223469,223358,223353,223245,223198,223206,223409,223384,223038,222222,221592,221300,220860,220313,220920,221043,220889,220724,220511,220286,220102,219751,218701,218694,218687,218465,218037,217628,217079,217024,216872,216533
71,대전광역시 중구 (3014000000),240215,240064,239635,239361,238955,238540,238149,237792,237425,236825,236492,235550,235164,234654,233601,233213,233067,232841,232627,232309,232077,231852,231306,230341,229555,229283,229497,229531,229089,229570,229712,229092,228198,227934,227500,227108,224684,224439,224439,224143,223506,223256,222919,222690,223076,223581
72,대전광역시 서구 (3017000000),481174,481349,481135,481304,481449,481436,481209,481124,480780,479806,478872,477880,477326,476945,475685,475622,475406,474934,474653,474504,474444,474046,473952,473365,473019,472935,472417,471907,471247,470332,469987,471029,470852,471112,471033,470374,467653,467364,466927,465978,465183,464634,464741,464764,464115,463328
73,대전광역시 유성구 (3020000000),349824,349915,350055,350439,351532,351882,352316,352550,352604,352231,351790,351047,350875,350374,350136,350017,350046,349927,349836,349809,350337,350284,351049,351277,351622,351887,351989,352557,352826,352844,353151,353263,353449,354066,354845,356093,363057,363731,364062,365082,366294,366845,367240,367500,367727,367634
74,대전광역시 대덕구 (3023000000),176723,176164,175731,175452,175250,174882,174491,174237,174922,175844,176293,176384,176199,175988,175572,175409,175289,175160,174986,174851,174791,174662,174330,175046,175484,175457,175294,175052,174851,174612,174443,174132,173592,173465,173269,172746,170803,170609,170480,170297,170086,169853,169583,169558,169899,170196
